"","deny","pirat","hirat","lvrat","phist","unemp","selfemp","insurance","condomin","afam","single","hschool"
"1",0,0.221000003814697,0.221000003814697,0.8,0,3.90000009536743,0,0,0,0,0,1
"2",0,0.265,0.265,0.921875,0,3.20000004768372,0,0,0,0,1,1
"3",0,0.372000007629395,0.247999992370605,0.920398009950249,0,3.20000004768372,0,0,0,0,0,1
"4",0,0.32,0.25,0.86046511627907,0,4.30000019073486,0,0,0,0,0,1
"5",0,0.36,0.35,0.6,0,3.20000004768372,0,0,0,0,0,1
"6",0,0.24,0.17,0.510526315789474,0,3.90000009536743,0,0,0,0,0,1
"7",0,0.35,0.29,0.746666666666667,0,3.90000009536743,0,0,1,0,1,1
"8",0,0.28,0.22,0.85,0,1.79999995231628,0,0,0,0,0,1
"9",1,0.31,0.24,0.897260273972603,0,3.09999990463257,0,1,0,0,0,1
"10",0,0.18,0.17,0.358744394618834,0,3.90000009536743,0,0,0,0,1,1
"11",0,0.28,0.27,0.223880597014925,0,3.09999990463257,0,0,1,0,1,1
"12",0,0.31,0.3,0.688888888888889,0,4.30000019073486,0,0,0,0,1,1
"13",1,0.28,0.27,0.537634408602151,0,4.30000019073486,0,1,0,0,0,1
"14",0,0.36,0.34,0.649438202247191,0,10.6000003814697,0,0,0,0,0,1
"15",0,0.18,0.15,0.3625,0,3.20000004768372,0,0,0,0,0,1
"16",0,0.36,0.27,0.833333333333333,0,3.20000004768372,0,0,0,0,0,1
"17",0,0.23,0.22,0.642857142857143,0,3.20000004768372,0,0,0,0,0,1
"18",0,0.32,0.27,0.4375,0,3.20000004768372,0,0,0,0,0,1
"19",0,0.31,0.29,0.794444444444444,0,4.30000019073486,0,0,0,0,0,1
"20",0,0.37,0.28,0.8,0,3.09999990463257,0,0,0,0,1,1
"21",1,0.37,0.22,0.896341463414634,1,3.09999990463257,0,1,0,0,0,1
"22",0,0.39,0.31,0.878571428571429,0,5.30000019073486,0,0,0,0,0,1
"23",0,0.32,0.32,0.772058823529412,0,10.6000003814697,0,0,0,0,1,1
"24",0,0.39,0.33,0.901023890784983,0,3.20000004768372,0,0,0,0,0,1
"25",0,0.33,0.31,0.654377880184332,0,3.90000009536743,0,0,0,0,1,1
"26",0,0.28,0.13,0.62962962962963,0,3.20000004768372,0,0,1,0,1,1
"27",0,0.37,0.28,0.894736842105263,0,1.79999995231628,0,0,1,0,1,1
"28",0,0.3,0.25,0.485436893203884,0,3.20000004768372,0,0,0,0,1,1
"29",0,0.31,0.29,0.949367088607595,0,3.90000009536743,0,0,0,0,0,1
"30",0,0.26,0.21,0.891089108910891,0,1.79999995231628,0,0,0,1,1,1
"31",0,0.36,0.29,0.863309352517986,0,4.30000019073486,0,0,0,0,1,1
"32",0,0.37,0.2,0.714285714285714,0,4.30000019073486,0,0,0,0,0,1
"33",0,0.35,0.26,0.751219512195122,0,3.59999990463257,0,0,0,0,1,1
"34",0,0.37,0.26,0.902127659574468,0,2,0,0,0,0,1,1
"35",0,0.34,0.28,0.847058823529412,0,4.30000019073486,0,0,0,0,0,1
"36",0,0.38,0.28,0.473684210526316,0,3.90000009536743,0,0,1,0,0,1
"37",0,0.44,0.31,0.68796992481203,0,3.09999990463257,0,0,0,0,0,1
"38",0,0.35,0.22,0.897810218978102,0,4.30000019073486,0,0,0,1,0,1
"39",0,0.38,0.28,0.880851063829787,0,3.09999990463257,0,0,0,0,0,1
"40",0,0.37,0.34,0.919753086419753,0,3.09999990463257,0,0,0,0,1,1
"41",0,0.37,0.28,0.936363636363636,0,3.90000009536743,0,0,0,0,0,1
"42",0,0.41,0.1,0.642857142857143,0,2,0,0,1,0,0,1
"43",1,0.35,0.34,1.47826086956522,0,3.20000004768372,0,1,0,0,0,1
"44",1,0.41,0.3,0.72,0,3.20000004768372,0,0,0,0,0,1
"45",0,0.34,0.28,0.677966101694915,1,3.09999990463257,0,0,0,0,1,1
"46",0,0.29,0.19,0.9,0,3.20000004768372,0,0,0,0,0,1
"47",1,0.27,0.26,0.8,1,3.20000004768372,0,0,0,0,0,1
"48",0,0.37,0.27,0.853846153846154,0,3.20000004768372,0,0,0,1,1,1
"49",1,0.34,0.3,0.741935483870968,0,3.90000009536743,1,0,0,0,0,1
"50",0,0.36,0.15,0.675675675675676,0,3.09999990463257,0,0,0,0,1,1
"51",0,0.34,0.32,0.64367816091954,0,3.20000004768372,0,0,0,0,1,1
"52",0,0.27,0.21,0.941176470588235,0,2,0,0,0,0,0,1
"53",0,0.16,0.08,0.732484076433121,0,3.20000004768372,0,0,0,0,1,1
"54",0,0.39,0.28,0.91358024691358,0,3.09999990463257,0,0,0,0,1,1
"55",0,0.36,0.26,0.207142857142857,0,3.20000004768372,0,0,0,0,0,1
"56",0,0.313999996185303,0.265,0.934426229508197,1,3.20000004768372,0,0,0,0,0,1
"57",0,0.34,0.28,0.903448275862069,1,3.90000009536743,0,0,0,0,0,1
"58",0,0.332000007629395,0.281000003814697,0.902439024390244,0,10.6000003814697,0,0,0,0,1,1
"59",0,0.33,0.33,0.636942675159236,0,4.30000019073486,1,0,0,0,1,1
"60",0,0.399000015258789,0.272000007629395,0.769230769230769,0,10.6000003814697,0,0,1,0,1,1
"61",0,0.342000007629395,0.322000007629395,0.75,0,3.20000004768372,0,0,0,0,0,1
"62",0,0.375999984741211,0.277999992370605,0.8,0,3.20000004768372,0,0,1,0,1,1
"63",0,0.320999984741211,0.251000003814697,0.888888888888889,0,4.30000019073486,0,0,1,0,0,1
"64",0,0.278999996185303,0.207999992370605,0.75187969924812,0,5.30000019073486,0,0,0,0,0,1
"65",0,0.317000007629395,0.246000003814697,0.894039735099338,0,3.20000004768372,0,0,0,0,0,1
